#q1           q2            q3            q4            q5            q6            lamb1         lamb2         lamb3         lamb4         lamb5         lamb6         
-3.4413462413714220e-16  9.9999999999999822e-01  -2.1557622824366074e-01  2.1014790120527569e+00  -1.1328856295968746e+00  5.6451629609622831e+00  1.6276289397591392e-01  9.1176775377350006e-01  -5.7276249439245119e-01  -6.8032381776401207e-01  2.0029829326164522e-01  1.6708589828715448e-01  
-2.2797617175458497e-15  1.0000000000000087e+00  -2.9517675173503655e-01  1.8127721267299151e+00  -6.3528033709640230e-01  5.4086838585418509e+00  -1.4246551690545570e+00  -7.6857746367847879e-01  1.3329928009732819e+00  2.8930984039078456e-01  -2.3501754183319779e-01  2.6908549006092825e-02  
-1.6003636298422537e-14  1.0000000000000664e+00  -2.4453558106998194e-01  2.2107002806621177e+00  -1.4114497903885843e+00  5.4813868353455204e+00  4.1964379721641167e+00  1.2325308051331472e+01  -8.9941512577317368e+00  -1.1422108895484275e+01  3.2299617034233656e+00  2.8444533565934722e+00  
#q1           q2            q3            q4            q5            q6            lamb1         lamb2         lamb3         lamb4         lamb5         lamb6         
-2.2383476476106849e-14  9.9999999999993539e-01  -2.5032690762809051e-01  2.0416680893213757e+00  -1.0166779390427469e+00  5.6483818695282206e+00  -6.1127445495483479e-01  -2.0183602047562127e-01  4.4392147758453093e-01  1.6682509051703728e-01  -5.2296823714833886e-02  3.2102858722215331e-03  
1.5174861350448645e-14  9.9999999999999556e-01  -3.0291769590852585e-01  1.8892302611171590e+00  -1.7512449556932363e+00  5.2657073055320005e+00  1.8213237863869649e+00  -1.3246438793375193e+00  -3.7429604086672801e+00  -6.5855643735412139e-02  1.4655094377195186e+00  4.2975729862147755e-01  
-1.2881577578921864e-16  9.9999999999999534e-01  -2.2043633221736783e-01  1.8695972394739677e+00  -6.6023112409636364e-01  3.8902682111821405e+00  -1.4497897424543074e+00  5.3327555430154696e+00  1.0858600967819803e+00  -5.1907713130211519e+00  -1.4966141111913178e-01  1.2585734295650097e+00  
-5.8014195750144610e-15  1.0000000000000009e+00  -3.4057911548775993e-01  2.1685925943921207e+00  -1.7616488888163959e+00  5.8014125807428583e+00  1.3389621615706633e+00  3.3071942727024779e+00  -3.1662563271046604e+00  -3.0034755739736578e+00  1.1375980903356862e+00  7.8210925199231873e-01  
-7.4319159150278872e-15  1.0000000000000120e+00  -3.4378928545098281e-01  2.3584550862061633e+00  -1.2989615101744536e+00  6.2264775029506287e+00  -1.4198579042106618e+00  6.2961665249105074e+00  5.9306762197680452e-01  -4.5754222990691513e+00  6.0097767036855999e-03  8.6250163464808050e-01  
-5.3182121617483821e-15  1.0000000000000233e+00  -1.9151199433399346e-01  1.6888400232779772e+00  -7.5057566987367030e-01  4.2245346249183493e+00  -5.0167933150558475e-01  -1.2656958783261858e+00  3.1260545136677415e-01  5.6741027190948068e-01  -3.0650279069849681e-03  -5.5406782633382534e-03  
